UniqueID,Deep-Lying_Forward,Target_Forward,Poacher,Complete_Forward,Advanced_Forward,Pressing_Forward,Trequartista
10714,11.88743302,16.2687327,12.44618552,13.24869994,17.17938849,14.61425226,14.35530807
28717,16.50913073,12.50470178,11.45165469,13.17020427,20.15855928,15.02425618,11.18149307
35888,14.0829252,14.58197682,12.49468398,12.98121128,16.76461938,15.19347846,13.90110488
11183,11.89645722,17.74518042,12.45723392,11.74568707,16.55442982,16.72109917,12.87991238
29162,18.03699108,15.28048512,12.0890884,16.06320714,14.30969867,12.50395035,11.71657925
33818,19.8872538,15.76633106,12.1513319,9.953398059,15.03274301,14.36005299,12.84888919
9161,14.7780129,18.81865971,15.87886252,11.76641846,11.83337452,14.70736093,12.21731096
9570,14.7780129,18.81865971,15.87886252,11.76641846,11.83337452,14.70736093,12.21731096
26237,13.69241484,15.29102908,13.42657524,12.30383479,15.53438093,14.54297171,15.2087934
26671,13.69241484,15.29102908,13.42657524,12.30383479,15.53438093,14.54297171,15.2087934
19827,18.65772019,13.45609867,6.6379371,18.21792487,14.73508264,13.20572924,15.08950729
16952,14.66932412,12.14892956,15.07878548,13.74692325,13.12984576,14.01319869,17.21299314
17829,16.08284814,11.90165758,11.77557488,16.77468008,14.43939334,12.44258414,16.58326185
27186,15.17105009,18.73272939,15.17449649,8.750590713,11.98848252,17.05552004,13.12713075
17917,18.03199886,13.31091523,14.50446711,17.1168266,14.44335143,13.9459346,8.646506159
6116,15.08527688,21.49230429,7.741706196,25.32265034,17.7582729,8.966961314,3.632828076
7447,14.42933899,15.83965223,15.188674,16.70357522,15.73949438,12.07638719,10.02287798
7853,12.46240577,19.99805389,16.65302613,14.2698503,12.19516113,12.92785982,11.49364296
20163,11.39051914,14.06357368,17.89847681,11.78298295,16.00289507,15.72889144,13.13266091
41411,11.37748964,13.98631466,17.92245016,11.71622169,16.15092448,15.72652507,13.1200743
15311,12.5174102,16.09990359,15.7674153,11.53702152,13.34235897,15.10692181,15.62896861
14520,11.98740397,16.1319503,14.39220284,11.7558572,13.90748566,16.60279311,15.22230693
38475,14.95682524,16.3340965,10.9260302,11.39222996,17.21097442,16.97208935,12.20775433
3438,12.32835619,12.628861,18.6459654,14.25536158,15.8172418,12.88451914,13.4396949
3907,12.32835619,12.628861,18.6459654,14.25536158,15.8172418,12.88451914,13.4396949
8857,13.58397368,15.47101848,15.37877819,10.61014587,17.19522661,15.62403941,12.13681777
9706,13.58397368,15.47101848,15.37877819,10.61014587,17.19522661,15.62403941,12.13681777
29499,16.54698234,16.19783254,12.3748246,8.083539743,16.28569153,17.26587144,13.24525781
30886,22.21725405,14.28554722,7.068027409,6.790932717,11.57810587,18.49713232,19.56300041
12242,11.4661886,17.68485215,11.46594418,9.681784393,15.10687193,20.01034303,14.58401572
35507,16.29517794,13.6920131,16.27462029,12.40473611,15.02231677,14.00950165,12.30163415
1722,16.96335491,11.11891201,19.61689945,20.37453239,18.19132746,6.116151861,7.618821916
234,14.2628917,14.99770812,18.57112955,16.4521718,14.75049744,10.62966157,10.33593982
643,14.2628917,14.99770812,18.57112955,16.4521718,14.75049744,10.62966157,10.33593982
834,15.72897433,11.6366202,17.79577709,20.57237272,20.57266294,6.987167878,6.706424845
35745,18.70088124,17.78908788,12.35521382,10.36969071,12.00682263,15.75121927,13.02708446
36140,16.70719444,15.51650862,13.6580646,10.88845919,12.29300069,15.18362168,15.75315078
10989,14.93358248,13.77482391,15.17525414,10.32706004,12.12736638,16.42779188,17.23412116
