UniqueID,Shadow_Striker,Advanced _Playmaker,Enganche,Trequartista
35230,17.06818358,34.67641225,15.90154058,32.35386358
35783,21.68973282,27.80665274,26.32438335,24.17923109
40246,0.097481299,53.67610876,26.35804587,19.86836407
35566,23.03477084,25.71442299,25.75802328,25.4927829
35752,22.13557284,19.36865605,25.71567827,32.78009284
35542,29.44640285,27.3306124,19.80970484,23.41327991
27159,19.36556118,27.88741778,16.26987693,36.47714411
20548,1.908524008,37.1804634,20.75346274,40.15754986
19989,5.855658373,39.93833453,24.03725983,30.16874726
5492,26.93413013,29.99160992,18.25905056,24.81520939
37476,26.99175807,31.03083701,14.51845432,27.45895059
36512,25.42786354,34.07811355,11.48282143,29.01120148
41222,4.763216108,38.31932709,26.80371679,30.11374002
34907,8.961081683,30.25217424,29.50092845,31.28581562
30290,28.29938967,21.31804902,24.73750019,25.64506112
36199,10.23624129,36.35904515,26.37006698,27.03464658
104,10.86524145,23.13138187,30.53636007,35.46701661
37394,20.19288968,30.87264235,27.09983762,21.83463035
257,28.17078813,21.34899316,23.6748413,26.8053774
38163,24.93247068,24.01321126,30.29361389,20.76070416
23839,27.04737978,23.22909531,26.98232562,22.74119929
20656,11.66778034,37.20653051,31.43699762,19.68869153
5256,10.76919717,38.82673857,13.61264852,36.79141573
9443,16.05289491,26.64816936,34.64250315,22.65643257
23485,23.36631388,24.70460457,26.61164666,25.31743489
1977,27.67876369,21.74039294,27.08453737,23.496306
7096,17.00492791,27.53777987,31.21185694,24.24543528
16711,26.80186927,19.8890286,18.44590956,34.86319256
34320,28.40819158,28.25320695,19.07491768,24.26368379
34559,28.20287019,21.4068289,29.90648768,20.48381324
528,36.32503363,15.61367858,14.00500804,34.05627975
21137,20.62065078,24.76585217,32.28138215,22.3321149
1626,23.92246782,24.58496944,31.28229614,20.21026661
38382,24.68189036,21.63511713,25.3873599,28.29563261
36310,1.248815519,40.66138845,32.6641925,25.42560353
40870,19.22005406,28.67172869,34.29469736,17.81351989
10732,21.70509679,25.32549159,28.9229687,24.04644291
11206,21.70509679,25.32549159,28.9229687,24.04644291
669,29.77347945,20.57984717,22.70937083,26.93730254
13158,28.57570961,26.33747465,20.76472921,24.32208653
25265,24.87894952,23.32422485,28.21694338,23.57988225
19396,15.25893563,19.34327495,25.55535394,39.84243548
22692,21.46836976,22.91161436,25.5965721,30.02344378
22176,27.29184224,20.310965,25.18629802,27.21089474
10270,27.23282826,27.84758713,25.04778494,19.87179967
13886,12.8337286,27.85583637,26.30060687,33.00982816
16136,21.48071629,26.81465509,31.18246595,20.52216268
32417,27.93759343,20.9390804,29.22926727,21.89405889
18737,23.36136084,18.5237559,27.70557116,30.4093121
31995,13.25055676,29.43604746,30.03418237,27.27921341
32487,13.25055676,29.43604746,30.03418237,27.27921341
39984,24.81310822,30.24513841,26.19910448,18.7426489
667,36.59164866,16.12953778,15.47818677,31.80062679
14899,29.659383,18.77440821,18.90997278,32.65623601
17909,17.29035392,29.32748523,34.18897902,19.19318182
2203,27.77099173,22.46426752,25.57723795,24.1875028
19998,18.21794355,21.71856652,26.15053676,33.91295317
23910,21.19645763,20.43026912,23.2323419,35.14093135
1495,16.22709619,22.20327846,28.23938525,33.3302401
27063,21.09514585,25.92665912,32.81924137,20.15895365
30068,19.45672193,26.25831048,32.25791161,22.02705598
8746,18.70050071,26.7534337,30.79998661,23.74607898
7116,30.20452126,21.24886359,22.53953029,26.00708486
14772,14.86770156,27.76575456,30.91639341,26.45015047
6337,26.24682723,24.65860524,29.75976851,19.33479902
23821,29.2948998,24.87787627,24.37962245,21.44760148
5572,28.3663728,21.40121262,28.57108105,21.66133353
15065,25.8426457,21.50619061,22.84960939,29.80155429
19326,16.62048385,24.02966221,26.96862664,32.38122729
5757,22.34301561,21.20116622,21.00417911,35.45163906
39845,27.58822824,23.17114622,28.4287325,20.81189305
488,28.50145578,19.73237638,20.07862335,31.6875445
39337,26.97628549,23.05422203,26.88834966,23.08114283
14836,15.72091633,26.80540098,24.57952195,32.89416074
17573,12.28723879,29.9461813,37.8417786,19.92480131
32416,16.46612679,24.81306569,27.3551045,31.36570302
32869,16.46612679,24.81306569,27.3551045,31.36570302
9514,18.54800539,23.4742985,26.98008164,30.99761447
23708,20.48731063,36.8751603,17.34637706,25.29115201
14368,24.48562327,24.1015117,30.53573246,20.87713257
11773,21.16957299,28.27618253,30.32456334,20.22968113
23556,45.95348895,19.18961573,7.996863738,26.86003158
18329,30.40252801,20.85181786,27.01154811,21.73410602
7772,30.61018726,20.06788787,21.70037932,27.62154555
17372,23.96155335,26.31918879,32.10742591,17.61183195
3314,27.61836216,21.2222221,27.9621184,23.19729735
911,32.56115182,19.48602942,21.71265978,26.24015898
1156,36.03751437,18.15584662,14.82319802,30.98344099
3448,28.1899801,22.56682747,24.338997,24.90419542
25765,18.07463075,30.87962567,36.33398724,14.71175635
25916,34.5945645,21.13365872,21.24254489,23.02923188
37583,28.47764695,21.6525981,27.94828031,21.92147464
39390,22.35724588,20.1442131,23.11173689,34.38680413
16145,36.41209848,22.93145269,14.56563264,26.09081619
16573,36.41209848,22.93145269,14.56563264,26.09081619
36318,20.29080318,24.92681597,28.26260422,26.51977663
40090,13.7619055,30.28022359,38.13346814,17.82440277
4404,12.98490897,24.89524199,27.0384786,35.08137045
16095,18.31866994,22.53917573,29.39114283,29.7510115
17223,36.0939098,24.21980757,17.36763376,22.31864887
33233,27.69950844,21.66559955,20.72655756,29.90833445
35339,34.90841396,18.53362685,19.62896976,26.92898943
3460,15.68842209,34.02266511,34.52831959,15.76059322
18292,34.09073595,18.8376582,19.62382433,27.44778152
26109,19.74128658,28.03721633,30.82553753,21.39595955
26557,19.74128658,28.03721633,30.82553753,21.39595955
33972,12.89889587,32.65072375,36.75210749,17.69827289
14693,27.30589633,24.81034879,29.15212714,18.73162774
14993,27.30589633,24.81034879,29.15212714,18.73162774
13491,28.71192765,22.21588246,27.60459309,21.46759679
34398,32.81199058,23.23942563,21.29994808,22.64863571
12009,19.85332162,26.63904006,29.7460353,23.76160303
16176,19.72455092,22.34383555,26.92532059,31.00629294
