UniqueID,Full_Back,Complete_Wing_Back,Wing_Back,Inverted_Full_Back,Inverted_Wing_Back,No_Nonsense_Full_Back
25847,0.679650848,13.52318709,22.30633628,31.56594271,31.82617852,0.098704547
34884,16.02075749,14.47305823,18.83273155,28.52838588,15.34436647,6.80070037
11311,4.507163985,23.99131171,15.00006819,29.20227923,21.38257359,5.916603287
36155,11.27192356,23.06251889,20.58613771,24.05556507,15.90067209,5.123182691
37109,5.893895519,20.35204158,21.05554265,20.24891901,26.46811883,5.981482404
30950,10.80519948,22.79201609,22.09985743,23.00833004,18.4781979,2.816399061
16345,12.64782288,23.37137394,21.12713195,18.90372872,11.51072546,12.43921705
16736,12.64782288,23.37137394,21.12713195,18.90372872,11.51072546,12.43921705
19911,14.84571575,19.90726979,16.35489219,13.27845332,15.15188829,20.46178066
40809,14.11257111,20.00689037,21.22687362,21.04331359,11.6117926,11.99855871
37807,13.26902639,23.31538273,22.93314033,14.87659247,11.92363029,13.6822278
34244,24.44768755,15.33450479,16.9757984,10.1353348,16.01742936,17.08924511
10805,15.12782682,17.88959891,19.7903133,20.30889971,10.41994906,16.46341221
8205,16.60913702,15.09139545,19.30737397,21.99923899,12.29740801,14.69544656
10489,15.11977241,23.11866558,17.83104534,14.11709152,16.02856953,13.78485563
38172,15.53300103,19.75539529,21.95304213,15.42686104,15.55264618,11.77905433
650,18.33202792,9.880942896,14.57115551,28.28523351,12.38607604,16.54456413
27981,18.01058151,21.6899029,18.74566842,17.00174547,12.19878645,12.35331524
28378,18.01058151,21.6899029,18.74566842,17.00174547,12.19878645,12.35331524
6928,15.15138095,28.12207006,18.54106645,10.21968601,16.02954346,11.93625307
6570,17.65977313,19.58237083,21.89998182,21.149091,12.99372335,6.715059866
6975,17.65977313,19.58237083,21.89998182,21.149091,12.99372335,6.715059866
18893,13.40978482,18.28602319,20.20152238,17.48284059,15.41920003,15.20062899
36295,14.1345582,23.59866548,15.27434507,16.90375721,16.00650591,14.08216813
14521,21.96015799,23.12180337,17.52639828,10.01554548,12.93463066,14.44146422
38619,19.18711581,19.30354983,19.59701272,14.47754263,10.83022328,16.60455573
15246,16.09402441,20.48381096,15.600382,14.95763094,16.43404648,16.4301052
7446,18.31142961,12.47821459,16.27702284,17.67699998,14.45603264,20.80030034
36284,22.10873947,15.90438132,19.23330213,16.46286119,10.11440305,16.17631284
41661,11.34300067,27.52520071,19.16157941,15.90388633,20.99491531,5.071417564
24927,18.24875677,16.05957741,14.26091602,8.542162469,14.27076921,28.61781812
21971,18.20490966,22.45610759,22.5489561,9.035231501,14.24136808,13.51342707
37629,17.53075413,19.31464611,18.65420967,15.67145445,12.98546316,15.84347248
9889,19.43133545,22.80996457,19.64210242,10.00602256,13.11695807,14.99361693
18348,21.04455487,12.31789315,13.74122031,17.818078,12.21522751,22.86302615
581,13.75928876,11.44639136,18.54467142,28.19049809,14.51644116,13.54270921
16239,17.44737076,18.10421199,17.82365905,14.62079172,13.26565068,18.73831579
40790,17.99272188,20.0692359,21.03586183,19.2684236,10.33924453,11.29451227
36690,18.70813052,22.58798895,21.70986801,8.81001111,12.81104917,15.37295223
19891,14.28937055,22.27637928,20.68573258,15.09213924,13.57113077,14.08524758
12980,15.96361177,18.11339336,20.78277495,18.97177793,12.90982812,13.25861387
7992,11.35856879,26.77234829,26.26569512,16.35282425,14.13381793,5.11674562
40705,22.75771311,15.61155863,11.60423454,16.80292667,17.77396291,15.44960413
9591,12.86233367,27.54838362,21.99070857,11.78452682,13.00077167,12.81327566
19756,15.75936931,20.34943293,21.33595019,15.88713324,14.12130581,12.54680851
115,14.16249745,12.60388456,15.80002119,28.00642543,14.00507451,15.42209687
38434,18.85216642,17.18978268,21.25093889,16.97476126,13.40765786,12.3246929
20015,17.914288,22.77472871,23.8636689,16.68627538,13.32524727,5.435791733
16646,12.19874994,24.22221076,24.91981571,20.2367044,15.16915434,3.253364844
16444,16.8785045,25.98268036,20.4077976,4.842486529,15.85042935,16.03810166
16856,16.8785045,25.98268036,20.4077976,4.842486529,15.85042935,16.03810166
33185,15.58670846,23.53744673,22.3042049,10.25705071,16.98653704,11.32805215
19468,11.86405732,34.57030347,25.11401835,7.892117035,19.09685381,1.462650009
25777,20.0310744,19.24243528,16.38640884,13.91433893,12.22303614,18.2027064
16439,21.93586308,18.60319338,16.70670028,7.935156683,13.77093622,21.04815036
36105,21.5117608,18.64821719,19.93744142,14.48309326,11.92801057,13.49147676
5988,15.68981013,20.21250488,21.74688995,16.08212175,13.56648434,12.70218895
33495,20.33401774,14.97948621,19.21505803,18.00632448,12.86605891,14.59905463
14404,18.1651339,22.43699267,17.93419364,15.54256451,13.10749922,12.81361606
7842,21.17585841,21.12624153,20.1127272,9.313423381,13.7272926,14.54445688
19126,22.73325794,15.19196004,15.95991677,14.84008747,10.57285796,20.70191983
27345,12.45092261,22.55100747,15.69888285,14.78572918,24.67330978,9.840148113
38600,22.00855514,20.87363215,19.71698662,15.36025909,12.91514965,9.125417342
9077,23.97633141,17.11483361,18.0283382,11.27138272,13.68785416,15.92125991
16460,19.5778082,15.71780191,16.61379504,14.54527507,10.33031256,23.21500722
38374,21.52442736,17.06882253,17.88571406,16.23911191,11.59195028,15.68997387
15306,20.91852312,21.98268759,17.76149682,12.12393829,12.7925825,14.42077168
18166,1.813643075,44.03844182,26.9787568,2.733085183,22.97116665,1.464906477
19225,13.27965487,18.8937138,19.54619633,18.60709543,15.13440551,14.53893406
38630,23.87653961,19.32306478,12.79376017,3.956687717,12.23776701,27.8121807
9242,15.52778612,27.14074289,21.5977737,7.180332223,13.7170128,14.83635226
9627,15.52778612,27.14074289,21.5977737,7.180332223,13.7170128,14.83635226
38603,14.44594235,18.95829231,14.2048649,22.95621875,16.44797014,12.98671155
8801,22.26174144,16.7186157,11.46045786,17.96184752,13.17206589,18.42527159
7736,19.76525252,16.34870088,17.60593467,10.62087259,14.62744995,21.03178938
16141,16.66914532,22.32553218,19.67450387,11.52338154,12.27787357,17.52956352
25871,11.58362611,28.9460085,22.20358271,14.96400763,16.89398589,5.408789161
10070,14.05644364,21.71440017,17.41679712,13.45353689,17.0621388,16.29668338
10945,12.40409741,22.95691394,17.33266909,18.89455636,18.30823905,10.10352416
11369,12.40409741,22.95691394,17.33266909,18.89455636,18.30823905,10.10352416
5691,16.22164365,20.77521203,21.71509973,12.96718576,16.52016017,11.80069867
2374,18.00256906,23.46605625,19.2334256,11.84148644,12.27281177,15.18365089
34900,14.99541579,11.00456959,14.88805171,27.98339797,13.99528893,17.13327601
11467,9.281968715,21.03701384,24.07581354,15.42751191,18.02859556,12.14909642
27055,15.43371013,23.8491219,21.29748637,11.4054678,12.12254967,15.89166412
37473,15.09868303,19.66108005,21.9504491,21.89502744,12.66280402,8.731956349
36590,8.204591284,20.67659211,24.84546517,24.25378591,19.74297721,2.276588325
6421,18.14682802,24.52985675,25.34720929,13.09811764,15.95342043,2.924567885
9216,17.04462544,23.1834607,23.59364071,16.58010718,15.67813328,3.920032692
27888,17.72950058,24.2233787,20.60203384,15.29164547,12.64118968,9.512251727
28304,17.72950058,24.2233787,20.60203384,15.29164547,12.64118968,9.512251727
29336,16.79084973,21.50794221,18.67902355,14.08617155,12.30471269,16.63130026
33208,12.57405325,21.73963429,20.3458069,16.21789707,18.05814548,11.06446302
7419,22.20387462,14.34800534,16.38832995,10.40364612,13.6676175,22.98852647
16099,14.95409685,16.1596529,19.76963415,20.05913341,13.74228651,15.31519617
34745,20.15635988,23.3010582,21.68451712,9.507514201,15.13207988,10.21847072
5973,20.58349957,16.13360523,17.17334974,20.07896876,16.21641909,9.814157616
29727,21.79763907,14.08976357,15.7750617,11.486055,13.40595648,23.44552419
36666,7.435787527,34.40392282,24.52114979,15.27627002,18.125704,0.237165841
9144,21.37039558,18.56733581,16.28823436,13.54110421,13.81788475,16.41504528
35274,9.772883349,19.55573959,24.10239532,27.58807204,15.59157771,3.389331994
